,max_temp,fit,diff%
1997-08-31,22.833363,14.244419923780917,0.602968931098811
1997-10-16,8.177983,4.720546933209154,0.7324228314444424
1997-10-17,12.368992,8.763581096111789,0.41140838615557446
1997-10-29,3.9991598,1.8215529270986117,1.1954672595196831
1997-11-01,8.428823,5.363154349312744,0.5716167990110967
1997-11-06,12.646721,8.639171975563853,0.4638811360628175
1997-11-15,5.1962185,3.4628734368859355,0.5005510843253338
1997-11-20,5.412941,3.384558678148701,0.5993048115699083
1997-11-24,4.0449576,2.3632331684675805,0.7116202039470296
1997-12-04,-1.5463024,-2.6979957319674455,0.4268699466567779
1997-12-07,3.179496,-0.44914447943592606,8.07900507621526
1997-12-11,7.8752937,5.321934544795374,0.4797802688857111
1997-12-17,1.0040337,-2.3952622131188708,1.4191748524363759
