,AreaId,Geometry
17775,230165,"MULTIPOLYGON(((-74.0125323222396 40.7361098327584,-74.0116687823588 40.7372431458824,-74.009941702597 40.7372431458824,-74.0090781627161 40.7361098327584,-74.009941702597 40.7349765003277,-74.0116687823588 40.7349765003277,-74.0125323222396 40.7361098327584)))"
17776,230166,"MULTIPOLYGON(((-74.0125323222396 40.7383764396998,-74.0116687823588 40.7395097142104,-74.009941702597 40.7395097142104,-74.0090781627161 40.7383764396998,-74.009941702597 40.7372431458824,-74.0116687823588 40.7372431458824,-74.0125323222396 40.7383764396998)))"
17777,230167,"MULTIPOLYGON(((-74.0125323222396 40.7406429694141,-74.0116687823588 40.7417762053108,-74.009941702597 40.7417762053108,-74.0090781627161 40.7406429694141,-74.009941702597 40.7395097142104,-74.0116687823588 40.7395097142104,-74.0125323222396 40.7406429694141)))"
17778,230168,"MULTIPOLYGON(((-74.0125323222396 40.7429094219003,-74.0116687823588 40.7440426191826,-74.009941702597 40.7440426191826,-74.0090781627161 40.7429094219003,-74.009941702597 40.7417762053108,-74.0116687823588 40.7417762053108,-74.0125323222396 40.7429094219003)))"
17779,230169,"MULTIPOLYGON(((-74.0125323222396 40.7451757971575,-74.0116687823588 40.7463089558248,-74.009941702597 40.7463089558248,-74.0090781627161 40.7451757971575,-74.009941702597 40.7440426191826,-74.0116687823588 40.7440426191826,-74.0125323222396 40.7451757971575)))"
17780,230170,"MULTIPOLYGON(((-74.0125323222396 40.7474420951846,-74.0116687823588 40.7485752152367,-74.009941702597 40.7485752152367,-74.0090781627161 40.7474420951846,-74.009941702597 40.7463089558248,-74.0116687823588 40.7463089558248,-74.0125323222396 40.7474420951846)))"
17781,230171,"MULTIPOLYGON(((-74.0125323222396 40.749708315981,-74.0116687823588 40.7508413974173,-74.009941702597 40.7508413974173,-74.0090781627161 40.749708315981,-74.009941702597 40.7485752152367,-74.0116687823588 40.7485752152367,-74.0125323222396 40.749708315981)))"
17782,230172,"MULTIPOLYGON(((-74.0125323222396 40.7519744595455,-74.0116687823588 40.7531075023656,-74.009941702597 40.7531075023656,-74.0090781627161 40.7519744595455,-74.009941702597 40.7508413974173,-74.0116687823588 40.7508413974173,-74.0125323222396 40.7519744595455)))"
17783,230173,"MULTIPOLYGON(((-74.0125323222396 40.7542405258774,-74.0116687823588 40.7553735300808,-74.009941702597 40.7553735300808,-74.0090781627161 40.7542405258774,-74.009941702597 40.7531075023656,-74.0116687823588 40.7531075023656,-74.0125323222396 40.7542405258774)))"
17784,230174,"MULTIPOLYGON(((-74.0125323222396 40.7565065149757,-74.0116687823588 40.7576394805619,-74.009941702597 40.7576394805619,-74.0090781627161 40.7565065149757,-74.009941702597 40.7553735300808,-74.0116687823588 40.7553735300808,-74.0125323222396 40.7565065149757)))"
17945,230335,"MULTIPOLYGON(((-74.009941702597 40.7009675504213,-74.0090781627161 40.7021014619957,-74.0073510829543 40.7021014619957,-74.0064875430734 40.7009675504213,-74.0073510829543 40.6998336195439,-74.0090781627161 40.6998336195439,-74.009941702597 40.7009675504213)))"
17946,230336,"MULTIPOLYGON(((-74.009941702597 40.703235354267,-74.0090781627161 40.7043692272351,-74.0073510829543 40.7043692272351,-74.0064875430734 40.703235354267,-74.0073510829543 40.7021014619957,-74.0090781627161 40.7021014619957,-74.009941702597 40.703235354267)))"
17947,230337,"MULTIPOLYGON(((-74.009941702597 40.7055030808998,-74.0090781627161 40.706636915261,-74.0073510829543 40.706636915261,-74.0064875430734 40.7055030808998,-74.0073510829543 40.7043692272351,-74.0090781627161 40.7043692272351,-74.009941702597 40.7055030808998)))"
